Date,c,50sma,co-dir,co-ret,oc-dir,oc-ret
1993-08-30 00:00:00,46.44,45.1064,1,0.000648648648649,1,0.00345721694036,
1994-08-29 00:00:00,47.66,45.6464,1,0.00251625078633,0,-0.00313741895001,
1995-08-28 00:00:00,56.09,55.6536,1,0.00266429840142,0,-0.00637732506643,
1996-08-26 00:00:00,66.53,65.6466,0,-0.00239306012564,0,-0.00254872563718,
1997-08-25 00:00:00,92.22,92.1272,1,0.0023768366465,0,-0.00603578357405,
1998-08-31 00:00:00,96.0,111.9094,1,0.00367611492696,0,-0.0746987951807,
1999-08-30 00:00:00,132.56,135.332,1,0.00207315267289,0,-0.0205408600562,
2000-08-28 00:00:00,151.77,147.6496,0,0.0,1,0.00343801652893,
2001-08-27 00:00:00,118.31,120.3564,0,-0.000420097462611,0,-0.00554761704631,
2002-08-26 00:00:00,95.26,92.8854,1,0.00327695560254,1,0.00368770414077,
2003-08-25 00:00:00,99.93,99.3888,0,-0.000601383181317,1,0.00220639855581,
2004-08-30 00:00:00,110.53,110.771,0,-0.00206370569762,0,-0.00620392015824,
2005-08-29 00:00:00,121.69,122.1368,0,-0.00289831069891,1,0.0106303463168,
2006-08-28 00:00:00,130.43,126.9058,0,-0.00123257068022,1,0.00601619745469,
2007-08-27 00:00:00,146.95,149.3056,0,-0.00323602777591,0,-0.00608725059182,
2008-08-25 00:00:00,127.02,127.8942,0,-0.00655611261088,0,-0.0138198757764,
2009-08-31 00:00:00,102.46,96.4474,0,-0.00976978138905,1,0.000879163817525,
2010-08-30 00:00:00,105.31,108.485,0,-0.00262025079543,0,-0.0119159316945,
2011-08-29 00:00:00,121.36,126.0196,1,0.0134780028821,1,0.0150552024088,
2012-08-27 00:00:00,141.54,137.3024,1,0.00268532259204,0,-0.00246669955599,
