Date,c,50sma,co-dir,co-ret,oc-dir,oc-ret
1961-09-05 00:00:00,67.96,None,0,-0.0033729285819,0,0.0,
1962-09-04 00:00:00,58.56,None,0,0.0,0,-0.00947225981055,
1963-09-03 00:00:00,72.66,None,0,0.0,1,0.00220689655172,
1964-09-08 00:00:00,82.87,None,0,0.0,1,0.00132914451426,
1965-09-07 00:00:00,88.36,None,0,0.0,1,0.00340676811265,
1966-09-06 00:00:00,76.96,None,0,0.0,0,-0.00594161715319,
1967-09-05 00:00:00,94.21,None,0,0.0,1,0.00565755764304,
1968-09-03 00:00:00,99.32,None,0,0.0,1,0.00465304470969,
1969-09-02 00:00:00,95.54,None,0,0.0,1,0.000314103235263,
1970-09-08 00:00:00,83.04,None,0,0.0,1,0.00253531329229,
1971-09-07 00:00:00,101.15,None,0,0.0,1,0.00456847750521,
1972-09-05 00:00:00,111.23,None,0,0.0,0,-0.00251098556183,
1973-09-04 00:00:00,104.51,None,0,0.0,1,0.00249400479616,
1974-09-03 00:00:00,70.52,None,0,0.0,0,-0.0225918225918,
1975-09-02 00:00:00,85.48,None,0,0.0,0,-0.0161141804788,
1976-09-07 00:00:00,105.03,None,0,0.0,1,0.00699904122723,
1977-09-06 00:00:00,97.71,None,0,0.0,1,0.00266803488969,
1978-09-05 00:00:00,104.49,None,0,0.0,1,0.0078125,
1979-09-04 00:00:00,107.44,None,0,0.0,0,-0.0171972191731,
1980-09-02 00:00:00,123.74,None,0,0.0,1,0.0111129269488,
1981-09-08 00:00:00,117.98,None,0,0.0,0,-0.0174065128675,
1982-09-07 00:00:00,121.37,None,0,0.0,0,-0.0106781871536,
1983-09-06 00:00:00,167.89,None,1,0.00121212121212,1,0.0162832929782,
1984-09-04 00:00:00,164.88,None,0,0.0,0,-0.0107991360691,
1985-09-03 00:00:00,187.91,None,0,0.0,0,-0.00381699623602,
1986-09-02 00:00:00,248.52,None,0,0.0,0,-0.0174356541336,
1987-09-08 00:00:00,313.56,None,0,-6.31512472371e-05,0,-0.00985221674877,
1988-09-06 00:00:00,265.59,None,0,-0.000226860254083,1,0.00442477876106,
1989-09-05 00:00:00,352.56,None,0,0.0,0,-0.00330760749724,
1990-09-04 00:00:00,323.09,None,0,0.0,1,0.00164310515873,
1991-09-03 00:00:00,392.15,None,0,0.0,0,-0.00829476772121,
1992-09-08 00:00:00,414.44,None,0,0.0,0,-0.00632972091685,
1993-09-07 00:00:00,458.52,45.2826,0,0.0,0,-0.00611262843022,
1994-09-06 00:00:00,471.86,45.8994,1,2.12318732882e-05,1,0.00182590233546,
1995-09-05 00:00:00,569.17,55.839,1,3.54710556185e-05,1,0.00941723122761,
1996-09-03 00:00:00,654.72,65.5922,0,0.0,1,0.00418718078498,
1997-09-02 00:00:00,927.58,92.2768,0,0.0,1,0.0312517371341,
1998-09-08 00:00:00,1023.46,110.6272,0,0.0,1,0.0508989721632,
1999-09-07 00:00:00,1350.45,135.4164,0,0.0,0,-0.00500279979959,
2000-09-05 00:00:00,1507.08,148.1288,0,0.0,0,-0.0090020187142,
2001-09-04 00:00:00,1132.94,119.5736,0,0.0,0,-0.000564583002523,
2002-09-03 00:00:00,878.02,91.8126,0,0.0,0,-0.0415361271519,
2003-09-02 00:00:00,1021.99,99.4068,0,0.0,1,0.0138689100307,
2004-09-07 00:00:00,1121.3,110.5718,0,0.0,1,0.00688738629527,
2005-09-06 00:00:00,1233.39,122.313,0,0.0,1,0.0126188404131,
2006-09-05 00:00:00,1313.25,127.5718,0,-5.33939481773e-05,1,0.00176209437503,
2007-09-04 00:00:00,1489.42,148.7706,0,-2.03529196263e-05,1,0.0104887513908,
2008-09-02 00:00:00,1277.58,127.313,1,0.00389763257797,0,-0.0079591250398,
2009-09-08 00:00:00,1025.39,97.5074,1,0.00223337268792,1,0.00659683705223,
2010-09-07 00:00:00,1091.84,108.4504,0,-0.00172927361454,0,-0.00975875204063,
2011-09-06 00:00:00,1165.24,125.1946,0,0.0,0,-0.00743630586812,
2012-09-04 00:00:00,1404.94,137.9846,0,-2.84377710474e-05,0,-0.00113754319109,
