FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,38.5727,2013-08-27,-0.0262,3.0000,5,0.0089,24.1304,0.00080,0.0000,-0.0106,23,1.8159,1.0181,1.0119,0.1457,2012-01-03,0.0213,0.0055,13.9547,0.5652,1.6482,
last_12mon,153.2784,2013-08-27,-0.0066,2,5,0.0089,29.0000,0.00308,0.0000,-0.0044,9,7.6923,1.0280,1.0183,0.6277,2012-01-03,0.0120,0.0049,5.4605,0.6667,1.6482,
mon03,0.0000,2013-08-27,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00443,0.0000,-0.0044,1,0.0000,0.9956,0.9746,0.0000,2012-01-03,0.0000,0.0000,0.6067,0.0000,1.6482,
mon02,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,2012-01-03,0.0000,0.0000,0.0000,0.0000,1.6482,
mon01,498.8888,2013-08-27,-0.0020,2.0000,1,0.0065,121.6667,0.00083,0.0000,-0.0020,3,0.8093,1.0025,1.0025,0.2065,2012-01-03,0.0070,0.0040,1.8202,0.3333,1.6482,
mon07,0.0000,2013-08-27,0.0000,0.0000,3.0000,0.0046,117.6667,0.00288,0.0000,0.0000,3,inf,1.0087,1.0057,2.3567,2012-01-03,0.0017,0.0012,1.8202,1.0000,1.6482,
mon06,61.1780,2013-08-27,-0.0161,3.0000,1,0.0067,77.6000,-0.00428,0.0000,-0.0106,5,0.0593,0.9787,0.9855,-0.6855,2012-01-03,0.0115,0.0062,3.0336,0.2000,1.6482,
mon05,227.0426,2013-08-27,-0.0044,1,2.0000,0.0079,128.0000,0.00272,0.0000,-0.0044,3,5.6863,1.0081,1.0058,0.5219,2012-01-03,0.0076,0.0052,1.8202,0.6667,1.6482,
mon04,476.7932,2013-08-27,-0.0021,1,2,0.0079,90.2500,0.00224,0.0000,-0.0021,4,15.7181,1.0090,1.0071,0.6243,2012-01-03,0.0064,0.0036,2.4269,0.7500,1.6482,
mon09,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,2012-01-03,0.0000,0.0000,0.0000,0.0000,1.6482,
mon08,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0057,0.0000,0.00570,0.0000,0.0000,1,inf,1.0057,1.0098,0.0000,2012-01-03,0.0000,0.0000,0.6067,1.0000,1.6482,
long,38.5727,2013-08-27,-0.0262,3.0000,5,0.0089,24.1304,0.00080,0.0000,-0.0106,23,1.8159,1.0181,1.0119,0.1457,2012-01-03,0.0213,0.0055,13.9547,0.5652,1.6482,
winners,0.0000,2013-08-27,0.0000,0.0000,13.0000,0.0089,35.2308,0.00496,0.0000,0.0000,13,inf,1.0664,1.0432,2.0136,2012-01-03,0.0072,0.0025,7.8875,1.0000,1.6482,
last_6mon,151.6080,2013-08-27,-0.0066,2,2.0000,0.0079,19.4000,0.00221,0.0000,-0.0044,5,3.9887,1.0110,1.0072,0.4370,2012-01-03,0.0092,0.0051,3.0336,0.6000,1.6482,
short,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,2012-01-03,0.0000,0.0000,0.0000,0.0000,1.6482,
last_18mon,39.6139,2013-08-27,-0.0256,3,5,0.0089,23.4286,0.00107,0.0000,-0.0106,21,2.4878,1.0223,1.0146,0.1885,2012-01-03,0.0210,0.0057,12.7413,0.6190,1.6482,
mon10,0.0000,2013-08-27,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00310,0.0000,-0.0031,1,0.0000,0.9969,0.9961,0.0000,2012-01-03,0.0000,0.0000,0.6067,0.0000,1.6482,
mon11,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0089,0.0000,0.00892,0.0000,0.0000,1,inf,1.0089,1.0102,0.0000,2012-01-03,0.0000,0.0000,0.6067,1.0000,1.6482,
mon12,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0044,0.0000,0.00436,0.0000,0.0000,1,inf,1.0044,1.0045,0.0000,2012-01-03,0.0000,0.0000,0.6067,1.0000,1.6482,
losers,22.3690,2013-08-27,-0.0433,10.0000,0.0000,0.0000,53.8000,-0.00462,0.0000,-0.0106,10,0.0000,0.9547,0.9690,-1.5360,2012-01-03,0.0078,0.0030,6.0673,0.0000,1.6482,
wkd03,0.0000,2013-08-27,0.0000,1.0000,3,0.0079,99.7500,0.00031,0.0000,-0.0106,4,3.3537,1.0012,1.0008,0.0464,2012-01-03,0.0110,0.0068,2.4269,0.7500,1.6482,
wkd02,0.0000,2013-08-27,0.0000,1.0000,2,0.0065,88.6667,0.00306,0.0000,-0.0021,3,10.6840,1.0092,1.0092,0.8198,2012-01-03,0.0065,0.0037,1.8202,0.6667,1.6482,
wkd01,71.1066,2013-08-27,-0.0139,5.0000,0.0000,0.0000,102.2000,-0.00320,0.0000,-0.0044,5,0.0000,0.9841,0.9886,-2.9684,2012-01-03,0.0020,0.0011,3.0336,0.0000,1.6482,
