FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,6.4902,2013-08-27,-0.1598,4,6,0.0797,28.8538,0.00307,0.0000,-0.0899,171,2.4790,1.6352,1.0370,0.1577,2000-01-03,0.0692,0.0195,12.5291,0.6140,13.6482,
last_12mon,225.9459,2013-08-27,-0.0044,1,2.0000,0.0089,58.5000,0.00325,0.0000,-0.0044,4,11.8109,1.0130,1.0010,0.6391,2000-01-03,0.0028,0.0051,0.2931,0.7500,13.6482,
mon03,23.4021,2013-08-27,-0.0433,3,7,0.0442,212.3684,0.00761,0.0000,-0.0246,19,6.7339,1.1515,1.0127,0.4230,2000-01-03,0.0234,0.0180,1.3921,0.6842,13.6482,
mon02,7.8044,2013-08-27,-0.1265,6,1.0000,0.0024,456.7500,-0.01625,0.0000,-0.0463,8,0.0080,0.8763,0.9870,-1.0938,2000-01-03,0.0132,0.0149,0.5862,0.2500,13.6482,
mon01,16.7808,2013-08-27,-0.0597,4,2.0000,0.0388,431.2727,0.00186,0.0000,-0.0254,11,1.0961,1.0190,1.0014,0.1058,2000-01-03,0.0162,0.0176,0.8060,0.4545,13.6482,
mon07,49.4555,2013-08-27,-0.0203,2,4,0.0261,335.3333,0.00331,0.0000,-0.0203,12,3.6582,1.0392,1.0028,0.2329,2000-01-03,0.0134,0.0142,0.8792,0.6667,13.6482,
mon06,39.0294,2013-08-27,-0.0256,2,1,0.0120,630.0000,-0.00180,0.0000,-0.0151,7,0.5297,0.9870,0.9990,-0.1692,2000-01-03,0.0080,0.0107,0.5129,0.4286,13.6482,
mon05,103.1760,2013-08-27,-0.0097,1,6,0.0183,434.0909,0.00653,0.0000,-0.0097,11,27.3034,1.0738,1.0053,0.7875,2000-01-03,0.0075,0.0083,0.8060,0.8182,13.6482,
mon04,39.6867,2013-08-27,-0.0253,1,3,0.0244,291.2667,0.00502,0.0000,-0.0253,15,4.4754,1.0762,1.0060,0.3436,2000-01-03,0.0161,0.0146,1.0990,0.6667,13.6482,
mon09,29.6241,2013-08-27,-0.0338,2,3,0.0218,243.8000,0.00151,0.0000,-0.0337,15,1.8962,1.0212,1.0018,0.1011,2000-01-03,0.0169,0.0149,1.0990,0.6000,13.6482,
mon08,34.1499,2013-08-27,-0.0293,3,3,0.0299,260.7143,0.00138,0.0000,-0.0212,14,1.7289,1.0183,1.0014,0.1041,2000-01-03,0.0140,0.0133,1.0258,0.5714,13.6482,
long,6.4902,2013-08-27,-0.1598,4,6,0.0797,28.8538,0.00307,0.0000,-0.0899,171,2.4790,1.6352,1.0370,0.1577,2000-01-03,0.0692,0.0195,12.5291,0.6140,13.6482,
winners,0.0000,2013-08-27,0.0000,0.0000,105.0000,0.0797,46.9905,0.01396,0.0000,0.0000,105,inf,4.2503,1.1130,1.0778,2000-01-03,0.0361,0.0130,7.6933,1.0000,13.6482,
last_6mon,0.0000,2013-08-27,0.0000,1.0000,1,0.0020,22.0000,-0.00123,0.0000,-0.0044,2,0.4458,0.9975,0.9998,-0.3834,2000-01-03,0.0012,0.0032,0.1465,0.5000,13.6482,
short,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,2000-01-03,0.0000,0.0000,0.0000,0.0000,13.6482,
last_18mon,94.0939,2013-08-27,-0.0106,2.0000,5,0.0089,50.6667,0.00163,0.0000,-0.0106,9,3.7086,1.0146,1.0011,0.2732,2000-01-03,0.0049,0.0060,0.6594,0.6667,13.6482,
mon10,5.9173,2013-08-27,-0.1702,5,8,0.0797,201.2500,0.00501,0.0000,-0.0899,20,2.6773,1.0886,1.0072,0.1298,2000-01-03,0.0502,0.0386,1.4654,0.6500,13.6482,
mon11,37.2977,2013-08-27,-0.0271,1,4,0.0380,182.8333,0.00581,0.0000,-0.0271,24,7.7923,1.1468,1.0107,0.4374,2000-01-03,0.0181,0.0133,1.7585,0.7083,13.6482,
mon12,44.4779,2013-08-27,-0.0225,2,2,0.0216,268.8000,0.00227,0.0000,-0.0225,15,1.7244,1.0334,1.0027,0.1783,2000-01-03,0.0143,0.0127,1.0990,0.5333,13.6482,
losers,1.5284,2013-08-27,-0.6093,65.0000,0.0000,0.0000,74.6000,-0.01447,0.0000,-0.0899,65,0.0000,0.3847,0.9312,-0.9602,2000-01-03,0.0332,0.0151,4.7625,0.0000,13.6482,
wkd03,7.8253,2013-08-27,-0.1277,3,4,0.0333,139.8000,-0.00018,0.0000,-0.0899,35,1.2991,0.9860,0.9990,-0.0088,2000-01-03,0.0332,0.0206,2.5644,0.5714,13.6482,
wkd02,54.4237,2013-08-27,-0.0186,2.0000,8,0.0258,150.6207,0.00561,0.0000,-0.0186,29,9.1711,1.1741,1.0124,0.5125,2000-01-03,0.0163,0.0109,2.1248,0.7241,13.6482,
wkd01,9.4914,2013-08-27,-0.1071,3,5.0000,0.0735,127.8421,0.00610,0.0000,-0.0637,38,3.9564,1.2473,1.0166,0.2644,2000-01-03,0.0388,0.0231,2.7843,0.6579,13.6482,
wkd00,10.4081,2013-08-27,-0.0966,7,5,0.0797,131.0000,0.00229,0.0000,-0.0463,35,1.7640,1.0738,1.0055,0.1001,2000-01-03,0.0378,0.0229,2.5644,0.5714,13.6482,
wkd04,17.0390,2013-08-27,-0.0589,7,5,0.0388,135.0588,0.00167,0.0000,-0.0254,34,1.7145,1.0546,1.0042,0.1174,2000-01-03,0.0233,0.0142,2.4912,0.5588,13.6482,
