FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0264,2013-09-04,-0.0885,3,14.0000,0.0334,148.4894,0.00105,3.8298,-0.0341,47,1.2631,0.0471,0.0023,0.0630,1993-02-01,0.0189,0.0123,2.2828,0.7234,20.5886,
last_12mon,0.0000,2013-09-04,0.0000,1.0000,0.0000,0.0000,0.0000,-0.01957,5.0000,-0.0196,1,0.0000,-0.0196,-0.0010,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5886,
mon03,0.0454,2013-09-04,-0.0118,1,1.0000,0.0223,3467.0000,0.00527,4.0000,-0.0118,2,1.8941,0.0103,0.0005,0.2916,1993-02-01,0.0055,0.0171,0.0971,0.5000,20.5886,
mon02,0.0000,2013-09-04,0.0000,0.0000,2.0000,0.0121,730.0000,0.01012,3.5000,0.0000,2,inf,0.0203,0.0029,5.0665,1993-02-01,0.0010,0.0019,0.0971,1.0000,20.5886,
mon01,0.0000,2013-09-04,0.0000,0.0000,2.0000,0.0023,2921.0000,0.00157,3.5000,0.0000,2,inf,0.0032,0.0002,1.8642,1993-02-01,0.0002,0.0007,0.0971,1.0000,20.5886,
mon07,0.0000,2013-09-04,0.0000,0.0000,1.0000,0.0054,0.0000,0.00539,4.0000,0.0000,1,inf,0.0054,0.0038,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5886,
mon06,-0.0412,2013-09-04,-0.0263,2,1,0.0105,654.0000,-0.00347,4.8000,-0.0243,5,0.3972,-0.0175,-0.0011,-0.3346,1993-02-01,0.0063,0.0114,0.2429,0.4000,20.5886,
mon05,0.0000,2013-09-04,0.0000,0.0000,4.0000,0.0071,1366.2500,0.00485,3.2500,0.0000,4,inf,0.0195,0.0013,2.4014,1993-02-01,0.0010,0.0019,0.1943,1.0000,20.5886,
mon04,-0.0441,2013-09-04,-0.0471,2,4,0.0055,830.8571,-0.00529,3.5714,-0.0341,7,0.2209,-0.0371,-0.0021,-0.4271,1993-02-01,0.0081,0.0130,0.3400,0.7143,20.5886,
mon09,0.1452,2013-09-04,-0.0109,1,3,0.0117,580.6000,0.00402,4.0000,-0.0109,5,2.8445,0.0201,0.0016,0.4756,1993-02-01,0.0049,0.0078,0.2429,0.8000,20.5886,
