FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.1442,2013-09-04,-0.1168,7,9,0.0637,47.8224,0.00239,1.0000,-0.0571,152,1.4445,1.4054,0.0168,0.1346,1993-02-01,0.0470,0.0172,7.3827,0.5658,20.5886,
last_12mon,0.3355,2013-09-04,-0.0058,1,2,0.0161,40.0000,0.00662,1.0000,-0.0058,6,6.3536,1.0402,0.0019,0.8413,1993-02-01,0.0042,0.0078,0.2914,0.6667,20.5886,
mon03,0.0479,2013-09-04,-0.0335,4,4,0.0226,442.0714,0.00217,1.0000,-0.0198,14,1.4486,1.0295,0.0016,0.1566,1993-02-01,0.0117,0.0134,0.6800,0.5000,20.5886,
mon02,0.0750,2013-09-04,-0.0285,2,3,0.0304,562.2727,0.00342,1.0000,-0.0285,11,1.8093,1.0370,0.0021,0.2209,1993-02-01,0.0122,0.0152,0.5343,0.5455,20.5886,
mon01,-0.0083,2013-09-04,-0.0504,3,2,0.0226,393.2308,-0.00047,1.0000,-0.0212,13,0.9059,0.9929,-0.0004,-0.0447,1993-02-01,0.0107,0.0122,0.6314,0.4615,20.5886,
mon07,-0.0262,2013-09-04,-0.0650,3,1.0000,0.0260,463.0000,-0.00241,1.0000,-0.0341,11,0.6750,0.9723,-0.0017,-0.1489,1993-02-01,0.0136,0.0167,0.5343,0.4545,20.5886,
mon06,0.0166,2013-09-04,-0.0750,3,4,0.0299,383.3158,0.00143,1.0000,-0.0354,19,1.3246,1.0256,0.0012,0.0961,1993-02-01,0.0137,0.0141,0.9228,0.5789,20.5886,
mon05,0.0734,2013-09-04,-0.0309,1,4,0.0377,476.6923,0.00350,1.0000,-0.0230,13,1.7182,1.0447,0.0023,0.2138,1993-02-01,0.0131,0.0160,0.6314,0.6923,20.5886,
mon04,0.4261,2013-09-04,-0.0118,1.0000,5,0.0264,609.2500,0.00852,1.0000,-0.0118,12,6.6720,1.1063,0.0050,0.7289,1993-02-01,0.0089,0.0116,0.5828,0.7500,20.5886,
mon09,-0.0323,2013-09-04,-0.0555,4,2,0.0256,547.4167,-0.00264,1.0000,-0.0376,12,0.6448,0.9671,-0.0018,-0.1636,1993-02-01,0.0133,0.0166,0.5828,0.3333,20.5886,
