FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0266,2013-09-04,-0.0656,3,7,0.0277,173.4146,0.00094,2.7805,-0.0292,41,1.2321,1.0365,0.0017,0.0631,1993-02-01,0.0165,0.0117,1.9914,0.6341,20.5886,
last_12mon,-0.0479,2013-09-04,-0.0069,1.0000,1,0.0019,88.2500,-0.00169,2.5000,-0.0069,4,0.2219,0.9932,-0.0003,-0.5728,1993-02-01,0.0014,0.0033,0.1943,0.2500,20.5886,
mon03,0.0000,2013-09-04,0.0000,0.0000,2.0000,0.0039,2740.0000,0.00352,3.0000,0.0000,2,inf,1.0071,0.0004,7.8724,1993-02-01,0.0001,0.0004,0.0971,1.0000,20.5886,
mon02,-0.0226,2013-09-04,-0.0208,2.0000,2,0.0156,1093.8333,-0.00141,2.8333,-0.0169,6,0.7771,0.9911,-0.0005,-0.1324,1993-02-01,0.0069,0.0123,0.2914,0.5000,20.5886,
mon01,0.0000,2013-09-04,0.0000,0.0000,3.0000,0.0127,1581.6667,0.00920,2.6667,0.0000,3,inf,1.0278,0.0020,2.8154,1993-02-01,0.0015,0.0032,0.1457,1.0000,20.5886,
mon07,0.0000,2013-09-04,0.0000,1.0000,0.0000,0.0000,0.0000,-0.01099,3.0000,-0.0110,1,0.0000,0.9890,-0.0032,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5886,
mon06,0.0000,2013-09-04,0.0000,0.0000,4.0000,0.0277,1548.7500,0.00999,2.5000,0.0000,4,inf,1.0403,0.0020,0.9217,1993-02-01,0.0048,0.0106,0.1943,1.0000,20.5886,
mon05,0.0039,2013-09-04,-0.0292,1,2.0000,0.0173,1220.6667,0.00089,3.3333,-0.0292,3,1.0918,1.0020,0.0001,0.0304,1993-02-01,0.0089,0.0213,0.1457,0.6667,20.5886,
mon04,0.0807,2013-09-04,-0.0079,1,1.0000,0.0116,2069.6667,0.00412,2.3333,-0.0079,3,2.5687,1.0123,0.0006,0.4606,1993-02-01,0.0034,0.0086,0.1457,0.6667,20.5886,
mon09,-0.2764,2013-09-04,-0.0018,1.0000,1,0.0051,1731.5000,-0.00255,2.5000,-0.0135,4,0.3335,0.9898,-0.0005,-0.4018,1993-02-01,0.0030,0.0068,0.1943,0.2500,20.5886,
mon08,-0.2157,2013-09-04,-0.0179,1,1.0000,0.0004,183.0000,-0.00874,2.5000,-0.0179,2,0.0250,0.9825,-0.0039,-0.9712,1993-02-01,0.0061,0.0092,0.0971,0.5000,20.5886,
long,0.0266,2013-09-04,-0.0656,3,7,0.0277,173.4146,0.00094,2.7805,-0.0292,41,1.2321,1.0365,0.0017,0.0631,1993-02-01,0.0165,0.0117,1.9914,0.6341,20.5886,
winners,0.0000,2013-09-04,0.0000,0.0000,26.0000,0.0277,262.8462,0.00789,2.6538,0.0000,26,inf,1.2260,0.0104,1.1739,1993-02-01,0.0075,0.0066,1.2628,1.0000,20.5886,
last_6mon,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,1,inf,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5886,
short,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
last_18mon,0.1011,2013-09-04,-0.0069,1,3.0000,0.0086,75.2857,0.00205,2.5714,-0.0069,7,2.6585,1.0144,0.0007,0.3600,1993-02-01,0.0030,0.0052,0.3400,0.5714,20.5886,
mon10,0.0219,2013-09-04,-0.0261,1,4,0.0174,817.8750,0.00147,2.8750,-0.0261,8,1.4246,1.0113,0.0006,0.1071,1993-02-01,0.0075,0.0118,0.3886,0.7500,20.5886,
mon11,-0.0460,2013-09-04,-0.0069,1,1.0000,0.0006,3457.5000,-0.00311,3.0000,-0.0069,2,0.0941,0.9938,-0.0003,-0.8870,1993-02-01,0.0012,0.0038,0.0971,0.5000,20.5886,
mon12,-0.1079,2013-09-04,-0.0074,2.0000,1,0.0032,972.3333,-0.00314,3.0000,-0.0074,3,0.2512,0.9906,-0.0008,-0.7401,1993-02-01,0.0023,0.0045,0.1457,0.3333,20.5886,
losers,-0.0568,2013-09-04,-0.1490,14.0000,0.0000,0.0000,485.2143,-0.01189,3.2143,-0.0292,14,0.0000,0.8454,-0.0085,-1.5024,1993-02-01,0.0068,0.0081,0.6800,0.0000,20.5886,
wkd03,-0.0385,2013-09-04,-0.0507,2,2,0.0174,523.3077,-0.00289,4.1538,-0.0292,13,0.4994,0.9622,-0.0019,-0.2780,1993-02-01,0.0093,0.0115,0.6314,0.4615,20.5886,
wkd02,0.0788,2013-09-04,-0.0179,1,4,0.0156,901.2500,0.00368,1.7500,-0.0179,8,2.6437,1.0295,0.0014,0.3715,1993-02-01,0.0060,0.0096,0.3886,0.7500,20.5886,
wkd01,0.0419,2013-09-04,-0.0261,1.0000,7,0.0145,680.0000,0.00222,2.0000,-0.0261,10,1.6799,1.0218,0.0011,0.1874,1993-02-01,0.0079,0.0110,0.4857,0.8000,20.5886,
wkd00,0.0243,2013-09-04,-0.0223,2,2.0000,0.0277,1319.7500,0.00258,2.0000,-0.0146,4,1.4606,1.0099,0.0005,0.1511,1993-02-01,0.0076,0.0161,0.1943,0.5000,20.5886,
wkd04,0.0533,2013-09-04,-0.0178,1,2,0.0173,759.3333,0.00238,3.0000,-0.0110,6,1.7793,1.0141,0.0010,0.2189,1993-02-01,0.0063,0.0099,0.2914,0.6667,20.5886,
