FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.7567,2013-08-27,-0.0189,1,9.0000,0.0517,213.8235,0.00875,2.0000,-0.0189,34,4.9538,1.3395,0.0143,0.5647,1993-02-01,0.0196,0.0152,1.6532,0.7353,20.5667,
last_12mon,0.6931,2013-08-27,-0.0013,1,1.0000,0.0196,27.0000,0.00917,2.0000,-0.0013,2,15.3866,1.0183,0.0009,0.8638,1993-02-01,0.0033,0.0104,0.0972,0.5000,20.5667,
mon03,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0263,2.5000,0.01436,2.0000,0.0000,2,inf,1.0288,0.0019,1.1955,1993-02-01,0.0043,0.0119,0.0972,1.0000,20.5667,
mon02,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0091,902.0000,0.00576,2.0000,0.0000,2,inf,1.0115,0.0007,1.6917,1993-02-01,0.0012,0.0033,0.0972,1.0000,20.5667,
mon01,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0058,0.0000,0.00583,2.0000,0.0000,1,inf,1.0058,0.0005,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5667,
mon07,0.6684,2013-08-27,-0.0060,1,4.0000,0.0307,802.0000,0.00927,2.0000,-0.0060,5,8.7460,1.0469,0.0040,0.7455,1993-02-01,0.0081,0.0122,0.2431,0.8000,20.5667,
mon06,0.3603,2013-08-27,-0.0048,2.0000,2,0.0302,912.0000,0.00899,2.0000,-0.0090,4,3.5978,1.0359,0.0017,0.5387,1993-02-01,0.0073,0.0164,0.1945,0.5000,20.5667,
mon05,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0149,1462.0000,0.01157,2.0000,0.0000,2,inf,1.0233,0.0020,3.4414,1993-02-01,0.0014,0.0033,0.0972,1.0000,20.5667,
mon04,-0.0204,2013-08-27,-0.0088,1,1.0000,0.0054,2547.0000,-0.00170,2.0000,-0.0088,2,0.6148,0.9966,-0.0002,-0.2592,1993-02-01,0.0023,0.0071,0.0972,0.5000,20.5667,
mon09,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0082,912.5000,0.00577,2.0000,0.0000,2,inf,1.0116,0.0008,2.2718,1993-02-01,0.0009,0.0025,0.0972,1.0000,20.5667,
mon08,4.0335,2013-08-27,-0.0013,1,5.0000,0.0517,1154.5000,0.01790,2.0000,-0.0013,6,85.2713,1.1111,0.0051,0.9146,1993-02-01,0.0105,0.0194,0.2917,0.8333,20.5667,
long,0.7567,2013-08-27,-0.0189,1,9.0000,0.0517,213.8235,0.00875,2.0000,-0.0189,34,4.9538,1.3395,0.0143,0.5647,1993-02-01,0.0196,0.0152,1.6532,0.7353,20.5667,
winners,0.0000,2013-08-27,0.0000,0.0000,25.0000,0.0517,289.2800,0.01491,2.0000,0.0000,25,inf,1.4448,0.0182,1.1543,1993-02-01,0.0142,0.0128,1.2156,1.0000,20.5667,
last_6mon,0.6931,2013-08-27,-0.0013,1,1.0000,0.0196,27.0000,0.00917,2.0000,-0.0013,2,15.3866,1.0183,0.0009,0.8638,1993-02-01,0.0033,0.0104,0.0972,0.5000,20.5667,
short,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5667,
