FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.3068,2013-08-27,-0.0757,3,4.0000,0.0921,222.4375,0.01544,7.0312,-0.0412,32,3.4762,1.6035,0.0232,0.4344,1993-02-01,0.0428,0.0343,1.5559,0.6562,20.5667,
last_12mon,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0274,24.5000,0.01742,7.0000,0.0000,2,inf,1.0350,0.0017,1.6979,1993-02-01,0.0031,0.0100,0.0972,1.0000,20.5667,
mon03,0.0000,2013-08-27,0.0000,1.0000,0.0000,0.0000,0.0000,-0.04120,7.0000,-0.0412,1,0.0000,0.9588,-0.0028,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5667,
mon02,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0547,899.5000,0.03422,7.0000,0.0000,2,inf,1.0692,0.0042,1.6426,1993-02-01,0.0072,0.0205,0.0972,1.0000,20.5667,
mon01,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0138,0.0000,0.01381,7.0000,0.0000,1,inf,1.0138,0.0011,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5667,
mon07,0.0431,2013-08-27,-0.0526,2,1.0000,0.0921,798.0000,0.00621,7.0000,-0.0406,5,1.4660,1.0264,0.0023,0.1254,1993-02-01,0.0300,0.0454,0.2431,0.4000,20.5667,
mon06,0.1607,2013-08-27,-0.0104,2.0000,2,0.0274,908.2500,0.00870,7.0000,-0.0104,4,2.8905,1.0346,0.0017,0.4564,1993-02-01,0.0079,0.0179,0.1945,0.5000,20.5667,
mon05,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0328,1459.5000,0.01766,7.0000,0.0000,2,inf,1.0354,0.0031,1.1294,1993-02-01,0.0064,0.0152,0.0972,1.0000,20.5667,
mon04,0.1477,2013-08-27,-0.0085,1,1.0000,0.0330,2544.5000,0.01228,7.0000,-0.0085,2,3.9009,1.0243,0.0012,0.5670,1993-02-01,0.0067,0.0207,0.0972,0.5000,20.5667,
mon09,0.0000,2013-08-27,0.0000,1.0000,1,0.0172,910.0000,-0.00257,7.0000,-0.0224,2,0.7698,0.9945,-0.0004,-0.1562,1993-02-01,0.0073,0.0198,0.0972,0.5000,20.5667,
mon08,0.0000,2013-08-27,0.0000,0.0000,6.0000,0.0818,1150.1667,0.04563,7.1667,0.0000,6,inf,1.3034,0.0130,1.4301,1993-02-01,0.0170,0.0315,0.2917,1.0000,20.5667,
long,0.3068,2013-08-27,-0.0757,3,4.0000,0.0921,222.4375,0.01544,7.0312,-0.0412,32,3.4762,1.6035,0.0232,0.4344,1993-02-01,0.0428,0.0343,1.5559,0.6562,20.5667,
winners,0.0000,2013-08-27,0.0000,0.0000,21.0000,0.0921,342.6190,0.03303,7.0476,0.0000,21,inf,1.9633,0.0334,1.1486,1993-02-01,0.0286,0.0283,1.0211,1.0000,20.5667,
last_6mon,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0274,24.5000,0.01742,7.0000,0.0000,2,inf,1.0350,0.0017,1.6979,1993-02-01,0.0031,0.0100,0.0972,1.0000,20.5667,
short,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5667,
last_18mon,0.0000,2013-08-27,0.0000,1.0000,3,0.0274,119.0000,0.01305,7.0000,-0.0085,4,7.1688,1.0528,0.0025,0.8536,1993-02-01,0.0065,0.0147,0.1945,0.7500,20.5667,
mon10,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0695,0.0000,0.06951,7.0000,0.0000,1,inf,1.0695,0.0070,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5667,
mon11,0.2623,2013-08-27,-0.0064,1,2,0.0252,1270.5000,0.00631,7.0000,-0.0064,4,4.9321,1.0252,0.0017,0.4931,1993-02-01,0.0061,0.0117,0.1945,0.7500,20.5667,
mon12,-1.3362,2013-08-27,-0.0017,2.0000,0.0000,0.0000,175.0000,-0.01803,7.0000,-0.0343,2,0.0000,0.9640,-0.0023,-1.1374,1993-02-01,0.0058,0.0163,0.0972,0.0000,20.5667,
losers,-0.0705,2013-08-27,-0.1487,11.0000,0.0000,0.0000,516.7273,-0.01814,7.0000,-0.0412,11,0.0000,0.8167,-0.0105,-1.3731,1993-02-01,0.0103,0.0136,0.5348,0.0000,20.5667,
wkd03,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5667,
wkd02,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5667,
wkd01,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5667,
wkd00,0.3068,2013-08-27,-0.0757,3,4.0000,0.0921,222.4375,0.01544,7.0312,-0.0412,32,3.4762,1.6035,0.0232,0.4344,1993-02-01,0.0428,0.0343,1.5559,0.6562,20.5667,
wkd04,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5667,
