FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,37.2094,2013-08-27,-0.0273,2,9,0.0857,259.0000,0.01291,3.1071,-0.0183,28,39.3863,1.4246,1.0174,0.6442,1993-02-01,0.0230,0.0197,1.3614,0.8214,20.5667,
last_12mon,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0078,0.0000,0.00783,3.0000,0.0000,1,inf,1.0078,1.0004,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5667,
mon03,0.0000,2013-08-27,0.0000,1.0000,1,0.0285,2.0000,0.00512,3.0000,-0.0183,2,1.5602,1.0097,1.0006,0.2093,1993-02-01,0.0085,0.0234,0.0972,0.5000,20.5667,
mon02,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0241,901.5000,0.01358,3.0000,0.0000,2,inf,1.0272,1.0017,1.2692,1993-02-01,0.0037,0.0105,0.0972,1.0000,20.5667,
mon01,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0076,0.0000,0.00755,3.0000,0.0000,1,inf,1.0076,1.0006,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5667,
mon07,82.6802,2013-08-27,-0.0121,2.0000,1,0.0219,1002.2500,0.00040,3.0000,-0.0121,4,0.3599,1.0013,1.0001,0.0142,1993-02-01,0.0076,0.0128,0.1945,0.2500,20.5667,
mon06,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0308,180.5000,0.01681,3.0000,0.0000,2,inf,1.0337,1.0017,1.1832,1993-02-01,0.0045,0.0140,0.0972,1.0000,20.5667,
mon05,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0107,1461.5000,0.00906,3.0000,0.0000,2,inf,1.0182,1.0016,5.5479,1993-02-01,0.0007,0.0016,0.0972,1.0000,20.5667,
mon04,0.0000,2013-08-27,0.0000,0.0000,2.0000,0.0241,2546.5000,0.01411,3.0000,0.0000,2,inf,1.0283,1.0015,1.3907,1993-02-01,0.0032,0.0100,0.0972,1.0000,20.5667,
mon09,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0092,0.0000,0.00923,3.0000,0.0000,1,inf,1.0092,1.0006,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5667,
mon08,0.0000,2013-08-27,0.0000,0.0000,5.0000,0.0857,1385.0000,0.03241,3.0000,0.0000,5,inf,1.1705,1.0077,1.0756,1993-02-01,0.0148,0.0299,0.2431,1.0000,20.5667,
long,37.2094,2013-08-27,-0.0273,2,9,0.0857,259.0000,0.01291,3.1071,-0.0183,28,39.3863,1.4246,1.0174,0.6442,1993-02-01,0.0230,0.0197,1.3614,0.8214,20.5667,
