FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0171,2013-08-27,-0.1456,3,8,0.0481,354.3962,0.00266,3.9245,-0.0518,53,1.4369,1.1397,0.0025,0.1227,1961-02-01,0.0194,0.0193,1.0082,0.6415,52.5667,
last_12mon,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,1,inf,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0190,0.0000,52.5667,
mon03,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon02,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon01,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon07,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon06,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon05,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon04,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon09,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon08,0.0171,2013-08-27,-0.1456,3,8,0.0481,354.3962,0.00266,3.9245,-0.0518,53,1.4369,1.1397,0.0025,0.1227,1961-02-01,0.0194,0.0193,1.0082,0.6415,52.5667,
long,0.0171,2013-08-27,-0.1456,3,8,0.0481,354.3962,0.00266,3.9245,-0.0518,53,1.4369,1.1397,0.0025,0.1227,1961-02-01,0.0194,0.0193,1.0082,0.6415,52.5667,
winners,0.0000,2013-08-27,0.0000,0.0000,34.0000,0.0481,522.5588,0.01362,4.0000,0.0000,34,inf,1.5811,0.0093,1.2193,1961-02-01,0.0091,0.0109,0.6468,1.0000,52.5667,
last_6mon,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,1,inf,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0190,0.0000,52.5667,
short,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
last_18mon,0.0000,2013-08-27,0.0000,1.0000,0.0000,0.0000,180.0000,-0.00161,2.0000,-0.0032,2,0.0000,0.9968,-0.0001,-1.0916,1961-02-01,0.0003,0.0016,0.0380,0.0000,52.5667,
mon10,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon11,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon12,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
losers,-0.0231,2013-08-27,-0.2736,18.0000,0.0000,0.0000,1010.8333,-0.01791,4.0000,-0.0518,18,0.0000,0.7208,-0.0063,-1.2256,1961-02-01,0.0088,0.0149,0.3424,0.0000,52.5667,
wkd03,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
wkd02,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
wkd01,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
wkd00,0.0171,2013-08-27,-0.1456,3,8,0.0481,354.3962,0.00266,3.9245,-0.0518,53,1.4369,1.1397,0.0025,0.1227,1961-02-01,0.0194,0.0193,1.0082,0.6415,52.5667,
wkd04,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
