FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0051,2013-08-21,-0.0697,10,8.0000,0.0260,829.1818,0.00088,1.0000,-0.0193,22,1.2583,1.0183,0.0004,0.0776,1961-08-21,0.0068,0.0104,0.4231,0.4545,52.0000,
last_12mon,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon03,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon02,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon01,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon07,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon06,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon05,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon04,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon09,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon08,0.0051,2013-08-21,-0.0697,10,8.0000,0.0260,829.1818,0.00088,1.0000,-0.0193,22,1.2583,1.0183,0.0004,0.0776,1961-08-21,0.0068,0.0104,0.4231,0.4545,52.0000,
long,0.0051,2013-08-21,-0.0697,10,8.0000,0.0260,829.1818,0.00088,1.0000,-0.0193,22,1.2583,1.0183,0.0004,0.0776,1961-08-21,0.0068,0.0104,0.4231,0.4545,52.0000,
winners,0.0000,2013-08-21,0.0000,0.0000,10.0000,0.0260,1642.7000,0.00943,1.0000,0.0000,10,inf,1.0981,0.0020,1.2303,1961-08-21,0.0035,0.0076,0.1923,1.0000,52.0000,
last_6mon,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
short,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
last_18mon,0.0000,2013-08-21,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00248,1.0000,-0.0025,1,0.0000,0.9975,-0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0192,0.0000,52.0000,
mon10,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon11,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon12,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
losers,-0.0231,2013-08-21,-0.0640,12.0000,0.0000,0.0000,973.2500,-0.00625,1.0000,-0.0193,12,0.0000,0.9273,-0.0015,-1.0250,1961-08-21,0.0030,0.0062,0.2308,0.0000,52.0000,
wkd03,0.0051,2013-08-21,-0.0697,10,8.0000,0.0260,829.1818,0.00088,1.0000,-0.0193,22,1.2583,1.0183,0.0004,0.0776,1961-08-21,0.0068,0.0104,0.4231,0.4545,52.0000,
wkd02,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
wkd01,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
wkd00,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
wkd04,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
