FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,-0.0011,2013-08-21,-0.1013,4,4,0.0361,355.2692,0.00003,3.0000,-0.0422,52,1.0045,0.9944,-0.0001,-0.0115,1961-08-21,0.0168,0.0166,1.0000,0.5000,52.0000,
last_12mon,0.0000,2013-08-21,0.0000,0.0000,1.0000,0.0223,0.0000,0.02231,3.0000,0.0000,1,inf,1.0223,0.0004,0.0000,1961-08-21,0.0000,0.0000,0.0192,1.0000,52.0000,
mon03,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon02,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon01,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon07,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon06,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon05,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon04,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon09,-0.0011,2013-08-21,-0.1013,4,4,0.0361,355.2692,0.00003,3.0000,-0.0422,52,1.0045,0.9944,-0.0001,-0.0115,1961-08-21,0.0168,0.0166,1.0000,0.5000,52.0000,
mon08,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
long,-0.0011,2013-08-21,-0.1013,4,4,0.0361,355.2692,0.00003,3.0000,-0.0422,52,1.0045,0.9944,-0.0001,-0.0115,1961-08-21,0.0168,0.0166,1.0000,0.5000,52.0000,
winners,0.0000,2013-08-21,0.0000,0.0000,26.0000,0.0361,685.5385,0.01375,3.0000,0.0000,26,inf,1.4247,0.0070,1.4213,1961-08-21,0.0068,0.0095,0.5000,1.0000,52.0000,
last_6mon,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
