FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,-0.0055,2013-08-21,-0.0955,4,5,0.0509,358.2115,-0.00043,0.0000,-0.0415,52,0.9107,0.9734,-0.0005,-0.0323,1961-08-21,0.0134,0.0133,1.0000,0.5192,52.0000,
last_12mon,0.0000,2013-08-21,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00114,0.0000,-0.0011,1,0.0000,0.9989,-0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0192,0.0000,52.0000,
mon03,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon02,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon01,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon07,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon06,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon05,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon04,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon09,-0.0055,2013-08-21,-0.0955,4,5,0.0509,358.2115,-0.00043,0.0000,-0.0415,52,0.9107,0.9734,-0.0005,-0.0323,1961-08-21,0.0134,0.0133,1.0000,0.5192,52.0000,
mon08,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
long,-0.0055,2013-08-21,-0.0955,4,5,0.0509,358.2115,-0.00043,0.0000,-0.0415,52,0.9107,0.9734,-0.0005,-0.0323,1961-08-21,0.0134,0.0133,1.0000,0.5192,52.0000,
winners,0.0000,2013-08-21,0.0000,0.0000,27.0000,0.0509,622.4815,0.00844,0.0000,0.0000,27,inf,1.2530,0.0047,0.8086,1961-08-21,0.0078,0.0104,0.5192,1.0000,52.0000,
last_6mon,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
short,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
last_18mon,0.0000,2013-08-21,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00114,0.0000,-0.0011,1,0.0000,0.9989,-0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0192,0.0000,52.0000,
mon10,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon11,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
mon12,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
losers,-0.0229,2013-08-21,-0.2157,24.0000,0.0000,0.0000,760.9583,-0.01043,0.0000,-0.0415,24,0.0000,0.7769,-0.0049,-1.2244,1961-08-21,0.0058,0.0085,0.4615,0.0000,52.0000,
wkd03,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
wkd02,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
wkd01,-0.0055,2013-08-21,-0.0955,4,5,0.0509,358.2115,-0.00043,0.0000,-0.0415,52,0.9107,0.9734,-0.0005,-0.0323,1961-08-21,0.0134,0.0133,1.0000,0.5192,52.0000,
wkd00,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
wkd04,0.0000,2013-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-08-21,0.0000,0.0000,0.0000,0.0000,52.0000,
