FilterID,calmar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,recovery_factory,risk_reward,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,-0.0333,2013-09-06,-0.6541,12,14,0.0930,1.4496,-0.00003,0.0000,-0.0899,5189,0.9905,-0.5574,1.0761,-0.3646,-0.0218,-0.0033,1993-02-01,0.1645,0.0104,251.9652,0.4793,20.5941,
last_12mon,0.0141,2013-09-06,-0.0934,8,5,0.0238,1.4549,0.00013,0.0000,-0.0197,233,1.0629,0.2933,1.1682,0.0274,0.0013,0.0227,1993-02-01,0.0197,0.0058,11.3139,0.4764,20.5941,
mon03,-0.0161,2013-09-06,-0.1988,8,9,0.0442,15.9046,-0.00009,0.0000,-0.0333,461,0.9742,-0.3152,1.0043,-0.0627,-0.0032,-0.0092,1993-02-01,0.0475,0.0099,22.3850,0.4924,20.5941,
mon02,-0.0409,2013-09-06,-0.3124,6,7,0.0291,18.1935,-0.00060,0.0000,-0.0463,403,0.8396,-0.7283,0.9319,-0.2275,-0.0128,-0.0634,1993-02-01,0.0421,0.0094,19.5687,0.4739,20.5941,
mon01,-0.0413,2013-09-06,-0.4302,11,16,0.0533,17.0367,-0.00082,0.0000,-0.0521,409,0.8017,-0.6996,0.9901,-0.3010,-0.0177,-0.0746,1993-02-01,0.0494,0.0109,19.8600,0.4474,20.5941,
mon07,0.0819,2013-09-06,-0.1286,10,13,0.0843,16.5576,0.00054,0.0000,-0.0289,443,1.1694,1.8635,1.1433,0.2396,0.0105,0.0529,1993-02-01,0.0470,0.0101,21.5110,0.5056,20.5941,
mon06,-0.0101,2013-09-06,-0.2215,8,7,0.0269,16.3296,-0.00007,0.0000,-0.0273,449,0.9805,-0.2026,1.1159,-0.0449,-0.0022,-0.0076,1993-02-01,0.0403,0.0086,21.8023,0.4677,20.5941,
mon05,-0.0127,2013-09-06,-0.2657,9,7,0.0333,16.5158,-0.00011,0.0000,-0.0329,444,0.9667,-0.2508,1.1270,-0.0666,-0.0034,-0.0127,1993-02-01,0.0422,0.0090,21.5596,0.4617,20.5941,
mon04,0.1693,2013-09-06,-0.1089,7,7,0.0465,16.9376,0.00090,0.0000,-0.0411,433,1.3028,4.1078,1.2730,0.4474,0.0184,0.0955,1993-02-01,0.0435,0.0094,21.0254,0.5058,20.5941,
mon09,-0.0147,2013-09-06,-0.1870,8,5,0.0418,17.8729,-0.00008,0.0000,-0.0651,409,0.9773,-0.2939,1.2310,-0.0549,-0.0027,-0.0077,1993-02-01,0.0472,0.0106,19.8600,0.4425,20.5941,
mon08,0.0970,2013-09-06,-0.1426,7,7,0.0747,15.7361,0.00066,0.0000,-0.0359,466,1.2100,2.2907,1.0915,0.3267,0.0138,0.0653,1993-02-01,0.0479,0.0101,22.6278,0.5258,20.5941,
long,-0.0227,2013-09-06,-0.5832,10,11,0.0930,3.7028,-0.00007,0.0000,-0.0899,2029,0.9817,-0.4112,0.9808,-0.2398,-0.0132,-0.0061,1993-02-01,0.1134,0.0114,98.5233,0.5002,20.5941,
winners,0.0000,2013-09-06,0.0000,0.0000,2487.0000,0.0930,3.0185,0.00734,0.0000,0.0000,2487,inf,0.0000,inf,73651208.1766,1.4119,0.9255,1993-02-01,0.0872,0.0079,120.7627,1.0000,20.5941,
last_6mon,0.0344,2013-09-06,-0.0521,8,5,0.0182,1.4144,0.00035,0.0000,-0.0158,111,1.1766,0.7215,1.3350,0.0376,0.0018,0.0619,1993-02-01,0.0131,0.0056,5.3899,0.4685,20.5941,
short,-0.0200,2013-09-06,-0.4331,11,9,0.0747,2.3801,-0.00001,0.0000,-0.0735,3160,0.9969,-0.3791,1.1432,-0.1642,-0.0087,-0.0011,1993-02-01,0.1192,0.0096,153.4419,0.4658,20.5941,
last_18mon,-0.0319,2013-09-06,-0.1960,8,5.0000,0.0238,1.4500,-0.00034,0.0000,-0.0236,360,0.8632,-0.6186,0.9435,-0.1212,-0.0063,-0.0546,1993-02-01,0.0260,0.0062,17.4807,0.4778,20.5941,
mon10,-0.0307,2013-09-06,-0.3520,7,5,0.0930,15.8770,-0.00038,0.0000,-0.0899,439,0.9206,-0.5487,0.9948,-0.1931,-0.0108,-0.0253,1993-02-01,0.0704,0.0149,21.3168,0.4806,20.5941,
mon11,-0.0481,2013-09-06,-0.3717,14,5,0.0585,16.9976,-0.00082,0.0000,-0.0584,410,0.7874,-0.8097,0.9767,-0.3009,-0.0179,-0.0790,1993-02-01,0.0471,0.0104,19.9086,0.4463,20.5941,
mon12,0.0316,2013-09-06,-0.1661,9,8,0.0617,16.4775,0.00029,0.0000,-0.0231,423,1.0938,0.6611,1.1306,0.1098,0.0052,0.0307,1993-02-01,0.0437,0.0095,20.5398,0.4917,20.5941,
losers,-0.5941,2013-09-06,-1.0000,2633.0000,0.0000,0.0000,2.8568,-0.00700,0.0000,-0.0899,2633,0.0000,-1.0000,0.0000,-1.0000,-0.5941,-0.9677,1993-02-01,0.0818,0.0072,127.8521,0.0000,20.5941,
wkd03,0.0636,2013-09-06,-0.1869,9,9,0.0585,7.1943,0.00029,0.0000,-0.0899,1045,1.0840,1.4743,1.0778,0.2755,0.0119,0.0279,1993-02-01,0.0729,0.0102,50.7427,0.5014,20.5941,
wkd02,-0.0421,2013-09-06,-0.5134,11,10,0.0843,7.0525,-0.00037,0.0000,-0.0763,1066,0.9008,-0.7053,1.0832,-0.3621,-0.0216,-0.0356,1993-02-01,0.0744,0.0103,51.7624,0.4540,20.5941,
wkd01,0.0052,2013-09-06,-0.2615,10,9,0.0930,7.0724,0.00009,0.0000,-0.0735,1063,1.0235,0.1078,1.1140,0.0282,0.0014,0.0078,1993-02-01,0.0784,0.0109,51.6167,0.4788,20.5941,
wkd00,0.0223,2013-09-06,-0.2713,7,8,0.0797,7.6957,0.00018,0.0000,-0.0651,976,1.0540,0.4878,1.0981,0.1324,0.0061,0.0172,1993-02-01,0.0735,0.0107,47.3922,0.4898,20.5941,
wkd04,-0.0349,2013-09-06,-0.5498,14,7,0.0512,7.2358,-0.00034,0.0000,-0.0388,1039,0.9057,-0.5989,1.0069,-0.3292,-0.0192,-0.0352,1993-02-01,0.0682,0.0096,50.4513,0.4735,20.5941,
