FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,569.0637,2013-08-01,-0.0018,2,2,0.0039,343.0500,0.00022,4.0000,-0.0017,20,0.8446,1.0044,1.0002,-0.0734,1993-02-01,0.0011,0.0011,0.9758,0.2000,20.4956,
last_12mon,0.0000,2013-08-01,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00003,4.0000,-0.0000,1,0.0000,1.0000,1.0000,0.0000,1993-02-01,0.0000,0.0000,0.0488,0.0000,20.4956,
mon03,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon02,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon01,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon07,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon06,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon05,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon04,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon09,578.2931,2013-08-01,-0.0017,1,2,0.0022,544.0833,0.00004,4.0000,-0.0017,12,0.4282,1.0005,1.0000,-0.3106,1993-02-01,0.0007,0.0008,0.5855,0.2500,20.4956,
mon08,35171.3961,2013-08-01,-0.0000,1,1,0.0039,727.1250,0.00048,4.0000,-0.0000,8,11.4121,1.0038,1.0002,0.1439,1993-02-01,0.0008,0.0013,0.3903,0.1250,20.4956,
long,569.0637,2013-08-01,-0.0018,2,2,0.0039,343.0500,0.00022,4.0000,-0.0017,20,0.8446,1.0044,1.0002,-0.0734,1993-02-01,0.0011,0.0011,0.9758,0.2000,20.4956,
winners,0.0000,2013-08-01,0.0000,0.0000,4.0000,0.0039,1367.2500,0.00155,4.0000,0.0000,4,inf,1.0062,1.0004,0.7686,1993-02-01,0.0008,0.0016,0.1952,1.0000,20.4956,
last_6mon,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
short,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
last_18mon,0.0000,2013-08-01,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00003,4.0000,-0.0000,1,0.0000,1.0000,1.0000,0.0000,1993-02-01,0.0000,0.0000,0.0488,0.0000,20.4956,
mon10,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon11,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon12,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
