FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0000,2013-08-27,0.0000,0.0000,20.0000,34.7219,-3464.3500,16.72863,3829.2000,0.0000,20,inf,2382516016383376184311808.0000,14.3035,2.2352,1993-01-29,7.2542,7.3577,0.9721,1.0000,20.5749,
last_12mon,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon03,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon02,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon01,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon07,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon06,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon05,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon04,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
mon09,0.0000,2013-08-27,0.0000,0.0000,12.0000,34.7219,-3402.4167,17.84618,4010.5000,0.0000,12,inf,706541959418043.0000,4.2688,2.0323,1993-01-29,6.5950,8.6356,0.5832,1.0000,20.5749,
mon08,0.0000,2013-08-27,0.0000,0.0000,8.0000,24.3602,-2781.6250,15.05230,3557.2500,0.0000,8,inf,3372080008.3066,1.9046,3.4114,1993-01-29,2.7034,4.3354,0.3888,1.0000,20.5749,
long,0.0000,2013-08-27,0.0000,0.0000,20.0000,34.7219,-3464.3500,16.72863,3829.2000,0.0000,20,inf,2382516016383376184311808.0000,14.3035,2.2352,1993-01-29,7.2542,7.3577,0.9721,1.0000,20.5749,
winners,0.0000,2013-08-27,0.0000,0.0000,20.0000,34.7219,-3464.3500,16.72863,3829.2000,0.0000,20,inf,2382516016383376184311808.0000,14.3035,2.2352,1993-01-29,7.2542,7.3577,0.9721,1.0000,20.5749,
last_6mon,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
short,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
last_18mon,0.0000,2013-08-27,0.0000,0.0000,1.0000,10.7369,0.0000,10.73689,360.0000,0.0000,1,inf,11.7369,0.1272,0.0000,1993-01-29,0.0000,0.0000,0.0486,1.0000,20.5749,
mon10,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-01-29,0.0000,0.0000,0.0000,0.0000,20.5749,
