FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,40.2568,2013-08-01,-0.0249,3,3,0.0289,346.8500,0.00086,0.0000,-0.0249,20,1.5196,1.0161,1.0008,0.0807,1993-02-01,0.0107,0.0106,0.9758,0.5500,20.4956,
last_12mon,0.0000,2013-08-01,0.0000,0.0000,1.0000,0.0046,0.0000,0.00465,0.0000,0.0000,1,inf,1.0046,1.0002,0.0000,1993-02-01,0.0000,0.0000,0.0488,1.0000,20.4956,
mon03,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon02,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon01,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon07,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon06,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon05,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon04,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon09,40.2594,2013-08-01,-0.0249,2,3,0.0289,547.7500,0.00145,0.0000,-0.0249,12,1.9384,1.0166,1.0009,0.1165,1993-02-01,0.0100,0.0124,0.5855,0.5833,20.4956,
mon08,94.9094,2013-08-01,-0.0105,2.0000,2,0.0112,730.6250,-0.00003,0.0000,-0.0105,8,0.9911,0.9996,1.0000,-0.0040,1993-02-01,0.0045,0.0070,0.3903,0.5000,20.4956,
long,40.2568,2013-08-01,-0.0249,3,3,0.0289,346.8500,0.00086,0.0000,-0.0249,20,1.5196,1.0161,1.0008,0.0807,1993-02-01,0.0107,0.0106,0.9758,0.5500,20.4956,
winners,0.0000,2013-08-01,0.0000,0.0000,11.0000,0.0289,630.6364,0.00796,0.0000,0.0000,11,inf,1.0908,1.0045,1.0511,1993-02-01,0.0057,0.0076,0.5367,1.0000,20.4956,
last_6mon,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
short,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
last_18mon,0.0000,2013-08-01,0.0000,0.0000,1.0000,0.0046,0.0000,0.00465,0.0000,0.0000,1,inf,1.0046,1.0002,0.0000,1993-02-01,0.0000,0.0000,0.0488,1.0000,20.4956,
mon10,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
mon11,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.4956,
