FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,6.8774,2013-08-01,-0.1456,3,6,0.0481,352.2250,0.00167,4.0000,-0.0518,40,1.8225,1.0588,1.0014,0.0629,1973-02-01,0.0219,0.0218,0.9878,0.6000,40.4956,
last_12mon,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon03,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon02,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon01,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon07,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon06,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon05,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon04,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon09,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon08,6.8774,2013-08-01,-0.1456,3,6,0.0481,352.2250,0.00167,4.0000,-0.0518,40,1.8225,1.0588,1.0014,0.0629,1973-02-01,0.0219,0.0218,0.9878,0.6000,40.4956,
long,6.8774,2013-08-01,-0.1456,3,6,0.0481,352.2250,0.00167,4.0000,-0.0518,40,1.8225,1.0588,1.0014,0.0629,1973-02-01,0.0219,0.0218,0.9878,0.6000,40.4956,
winners,0.0000,2013-08-01,0.0000,0.0000,24.0000,0.0481,559.3750,0.01571,4.0000,0.0000,24,inf,1.4513,1.0100,1.2682,1973-02-01,0.0097,0.0122,0.5927,1.0000,40.4956,
last_6mon,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
short,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
last_18mon,0.0000,2013-08-01,0.0000,1.0000,0.0000,0.0000,0.0000,-0.00322,4.0000,-0.0032,1,0.0000,0.9968,0.9999,0.0000,1973-02-01,0.0000,0.0000,0.0247,0.0000,40.4956,
mon10,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon11,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
