FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,9.8751,2013-08-01,-0.1013,4,4,0.0361,353.2000,0.00030,3.0000,-0.0422,40,1.1514,1.0058,1.0001,0.0046,1973-02-01,0.0178,0.0177,0.9878,0.5250,40.4956,
last_12mon,0.0000,2013-08-01,0.0000,0.0000,1.0000,0.0223,0.0000,0.02231,3.0000,0.0000,1,inf,1.0223,1.0006,0.0000,1973-02-01,0.0000,0.0000,0.0247,1.0000,40.4956,
mon03,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon02,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon01,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon07,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon06,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon05,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon04,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
mon09,9.8751,2013-08-01,-0.1013,4,4,0.0361,353.2000,0.00030,3.0000,-0.0422,40,1.1514,1.0058,1.0001,0.0046,1973-02-01,0.0178,0.0177,0.9878,0.5250,40.4956,
mon08,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
long,9.8751,2013-08-01,-0.1013,4,4,0.0361,353.2000,0.00030,3.0000,-0.0422,40,1.1514,1.0058,1.0001,0.0046,1973-02-01,0.0178,0.0177,0.9878,0.5250,40.4956,
winners,0.0000,2013-08-01,0.0000,0.0000,21.0000,0.0361,675.4762,0.01436,3.0000,0.0000,21,inf,1.3477,1.0076,1.4160,1973-02-01,0.0073,0.0100,0.5186,1.0000,40.4956,
last_6mon,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
short,0.0000,2013-08-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1973-02-01,0.0000,0.0000,0.0000,0.0000,40.4956,
last_18mon,0.0000,2013-08-01,0.0000,0.0000,1.0000,0.0223,0.0000,0.02231,3.0000,0.0000,1,inf,1.0223,1.0006,0.0000,1973-02-01,0.0000,0.0000,0.0247,1.0000,40.4956,
