FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,-0.0011,2013-08-27,-0.1013,4,4,0.0361,355.2692,0.00003,3.0000,-0.0422,52,1.0045,0.9944,-0.0001,-0.0115,1961-02-01,0.0167,0.0166,0.9892,0.5000,52.5667,
last_12mon,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0223,0.0000,0.02231,3.0000,0.0000,1,inf,1.0223,0.0004,0.0000,1961-02-01,0.0000,0.0000,0.0190,1.0000,52.5667,
mon03,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon02,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon01,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon07,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon06,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon05,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon04,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon09,-0.0011,2013-08-27,-0.1013,4,4,0.0361,355.2692,0.00003,3.0000,-0.0422,52,1.0045,0.9944,-0.0001,-0.0115,1961-02-01,0.0167,0.0166,0.9892,0.5000,52.5667,
mon08,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
long,-0.0011,2013-08-27,-0.1013,4,4,0.0361,355.2692,0.00003,3.0000,-0.0422,52,1.0045,0.9944,-0.0001,-0.0115,1961-02-01,0.0167,0.0166,0.9892,0.5000,52.5667,
winners,0.0000,2013-08-27,0.0000,0.0000,26.0000,0.0361,685.5385,0.01375,3.0000,0.0000,26,inf,1.4247,0.0069,1.4213,1961-02-01,0.0068,0.0095,0.4946,1.0000,52.5667,
last_6mon,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
short,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
last_18mon,0.0000,2013-08-27,0.0000,0.0000,1.0000,0.0223,0.0000,0.02231,3.0000,0.0000,1,inf,1.0223,0.0004,0.0000,1961-02-01,0.0000,0.0000,0.0190,1.0000,52.5667,
mon10,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon11,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
mon12,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
losers,-0.0235,2013-08-27,-0.3012,26.0000,0.0000,0.0000,699.5385,-0.01369,3.0000,-0.0422,26,0.0000,0.6980,-0.0071,-1.5196,1961-02-01,0.0066,0.0092,0.4946,0.0000,52.5667,
wkd03,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
wkd02,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
wkd01,-0.0011,2013-08-27,-0.1013,4,4,0.0361,355.2692,0.00003,3.0000,-0.0422,52,1.0045,0.9944,-0.0001,-0.0115,1961-02-01,0.0167,0.0166,0.9892,0.5000,52.5667,
wkd00,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
wkd04,0.0000,2013-08-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1961-02-01,0.0000,0.0000,0.0000,0.0000,52.5667,
