FilterID,calmar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,recovery_factory,risk_reward,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,-0.0544,2013-09-06,-0.7619,14,14,0.0984,0.0000,-0.00009,1.4496,-0.1452,5189,0.9779,-0.7634,0.9685,-0.5817,-0.0414,-0.0163,1993-02-01,0.1947,0.0123,251.9652,0.5024,20.5941,
last_12mon,0.0640,2013-09-06,-0.0656,5,8,0.0256,0.0000,0.00040,1.4549,-0.0248,233,1.1509,1.3726,0.9441,0.0900,0.0042,0.0388,1993-02-01,0.0253,0.0075,11.3139,0.5494,20.5941,
mon03,-0.0054,2013-09-06,-0.3431,11,12,0.0467,14.4924,-0.00001,1.4208,-0.0718,461,0.9986,-0.1077,1.0029,-0.0369,-0.0019,-0.0090,1993-02-01,0.0586,0.0123,22.3850,0.4989,20.5941,
mon02,0.1038,2013-09-06,-0.1164,7,6,0.0458,16.7221,0.00065,1.4739,-0.0391,403,1.1868,2.3423,1.0275,0.2726,0.0121,0.0516,1993-02-01,0.0473,0.0106,19.5687,0.5360,20.5941,
mon01,0.0311,2013-09-06,-0.1839,11,8,0.0528,15.5844,0.00034,1.4548,-0.0581,409,1.0916,0.6576,0.9286,0.1209,0.0057,0.0209,1993-02-01,0.0510,0.0113,19.8600,0.5403,20.5941,
mon07,-0.0085,2013-09-06,-0.2430,9,8,0.0364,15.0926,-0.00003,1.4673,-0.0597,443,0.9915,-0.1707,1.1304,-0.0415,-0.0021,-0.0128,1993-02-01,0.0516,0.0111,21.5110,0.4673,20.5941,
mon06,-0.0184,2013-09-06,-0.1942,8,8,0.0351,14.9332,-0.00011,1.4031,-0.0319,449,0.9703,-0.3637,1.0281,-0.0706,-0.0036,-0.0218,1993-02-01,0.0467,0.0100,21.8023,0.4855,20.5941,
mon05,0.0366,2013-09-06,-0.1746,7,7,0.0378,15.0608,0.00035,1.4617,-0.0440,444,1.0921,0.7928,0.9979,0.1384,0.0064,0.0227,1993-02-01,0.0494,0.0106,21.5596,0.5225,20.5941,
mon04,-0.0594,2013-09-06,-0.4974,9,6,0.0334,15.4873,-0.00134,1.4527,-0.0572,433,0.7088,-0.9146,0.7597,-0.4549,-0.0295,-0.1321,1993-02-01,0.0507,0.0110,21.0254,0.4827,20.5941,
mon09,0.0128,2013-09-06,-0.2114,7,9,0.0784,16.4156,0.00022,1.4572,-0.0537,409,1.0518,0.2717,1.1656,0.0574,0.0027,0.0088,1993-02-01,0.0588,0.0132,19.8600,0.4743,20.5941,
mon08,-0.0450,2013-09-06,-0.3162,10,6,0.0713,14.3262,-0.00056,1.4185,-0.0470,466,0.8733,-0.8086,0.9766,-0.2557,-0.0142,-0.0530,1993-02-01,0.0593,0.0125,22.6278,0.4721,20.5941,
long,0.0594,2013-09-06,-0.3967,9,14,0.0467,0.7026,0.00018,1.4405,-0.0572,3510,1.0563,1.5504,0.9576,0.6151,0.0236,0.0079,1993-02-01,0.1152,0.0088,170.4371,0.5245,20.5941,
winners,0.0000,2013-09-06,0.0000,0.0000,2607.0000,0.0984,1.4381,0.00813,1.4473,0.0000,2607,inf,0.0000,inf,1352738302.0495,1.7758,0.9296,1993-02-01,0.0971,0.0086,126.5896,1.0000,20.5941,
last_6mon,0.0010,2013-09-06,-0.0656,5,8,0.0152,0.0000,0.00004,1.4144,-0.0248,111,1.0142,0.0213,0.8621,0.0014,0.0001,-0.0082,1993-02-01,0.0177,0.0076,5.3899,0.5405,20.5941,
short,-0.0849,2013-09-06,-0.7477,10,7,0.0984,3.0030,-0.00065,1.4687,-0.1452,1679,0.8979,-0.9910,1.0703,-0.7410,-0.0635,-0.0438,1993-02-01,0.1568,0.0174,81.5282,0.4562,20.5941,
last_18mon,-0.0012,2013-09-06,-0.1494,8.0000,8,0.0256,0.0000,0.00002,1.4500,-0.0248,360,1.0072,-0.0251,0.8912,-0.0038,-0.0002,-0.0107,1993-02-01,0.0334,0.0080,17.4807,0.5306,20.5941,
mon10,-0.0509,2013-09-06,-0.4179,8,7,0.0984,14.4692,-0.00081,1.4100,-0.1452,439,0.8567,-0.8280,0.7928,-0.3461,-0.0213,-0.0516,1993-02-01,0.0833,0.0177,21.3168,0.5194,20.5941,
mon11,0.0946,2013-09-06,-0.1704,8,9,0.0886,15.5415,0.00088,1.4634,-0.0693,410,1.2150,2.1913,0.9892,0.3733,0.0161,0.0537,1993-02-01,0.0650,0.0143,19.9086,0.5512,20.5941,
mon12,-0.0464,2013-09-06,-0.2683,7,6,0.0301,14.9598,-0.00053,1.5225,-0.0471,423,0.8678,-0.8224,0.9142,-0.2207,-0.0124,-0.0611,1993-02-01,0.0487,0.0106,20.5398,0.4870,20.5941,
losers,-0.6548,2013-09-06,-1.0000,2525.0000,0.0000,0.0000,1.5244,-0.00859,1.4523,-0.1452,2525,0.0000,-1.0000,0.0000,-1.0000,-0.6548,-0.9157,1993-02-01,0.1052,0.0095,122.6079,0.0000,20.5941,
wkd03,0.0787,2013-09-06,-0.2012,10,11,0.0507,6.0947,0.00037,1.1005,-0.0581,1045,1.0979,1.8987,0.9693,0.3821,0.0158,0.0260,1993-02-01,0.0797,0.0112,50.7427,0.5311,20.5941,
wkd02,0.0107,2013-09-06,-0.3509,9,10,0.0742,6.0263,0.00015,1.0272,-0.0623,1066,1.0354,0.2289,1.0123,0.0803,0.0038,0.0058,1993-02-01,0.0871,0.0121,51.7624,0.5056,20.5941,
